City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
133,Manyana,AU,2020-01-06 04:45:05,-35.26,150.51,72.0,77,90,10.29,overcast clouds,0.0,0.0
134,Ziway,ET,2020-01-06 04:45:05,7.93,38.72,65.41,62,6,14.27,clear sky,0.0,0.0
135,Los Llanos De Aridane,ES,2020-01-06 04:37:02,28.66,-17.92,62.6,59,0,10.29,clear sky,0.0,0.0
136,Slave Lake,CA,2020-01-06 04:37:43,55.28,-114.77,30.2,54,20,12.75,few clouds,0.0,0.0
137,Vaini,IN,2020-01-06 04:36:31,15.34,74.49,71.6,83,75,5.82,mist,0.0,0.0
138,Okha,RU,2020-01-06 04:34:25,53.59,142.95,23.9,91,98,13.69,light snow,0.0,0.13
139,Tessalit,ML,2020-01-06 04:40:11,20.2,1.01,50.79,30,18,11.05,few clouds,0.0,0.0
140,Dakar,SN,2020-01-06 04:32:47,14.69,-17.45,69.8,56,7,13.87,dust,0.0,0.0
141,Mercedes,UY,2020-01-06 04:37:39,-33.25,-58.03,70.0,82,10,34.0,clear sky,0.0,0.0
142,Saskylakh,RU,2020-01-06 04:34:23,71.97,114.09,-15.48,93,100,13.56,overcast clouds,0.0,0.0
143,Comarapa,BO,2020-01-06 04:45:07,-17.91,-64.53,59.23,94,64,1.48,broken clouds,0.0,0.0
144,Severo-Kurilsk,RU,2020-01-06 04:36:52,50.68,156.12,21.87,93,99,6.04,light snow,0.0,0.19
145,Ouadda,CF,2020-01-06 04:45:08,8.07,22.4,67.01,28,24,7.27,few clouds,0.0,0.0
146,Urusha,RU,2020-01-06 04:45:08,54.05,122.9,-3.6,93,96,1.39,overcast clouds,0.0,0.0
147,Lakatoro,VU,2020-01-06 04:45:08,-16.11,167.42,82.24,80,41,15.52,scattered clouds,0.0,0.0
148,Turhal,TR,2020-01-06 04:45:08,40.38,36.08,28.4,86,68,4.59,broken clouds,0.0,0.0
149,Chuy,UY,2020-01-06 04:36:33,-33.69,-53.46,70.2,86,1,12.12,clear sky,0.0,0.0
150,Birsk,RU,2020-01-06 04:45:09,55.42,55.54,14.74,96,67,3.02,broken clouds,0.0,0.0
151,Manzhouli,CN,2020-01-06 04:45:09,49.6,117.43,14.54,87,100,6.42,overcast clouds,0.0,0.0
152,Daru,PG,2020-01-06 04:38:28,-9.07,143.21,85.28,76,90,3.58,light rain,2.63,0.0
153,Floro,NO,2020-01-06 04:41:29,61.6,5.03,48.99,93,100,14.99,light rain,0.0,0.0
154,Bandar-E Lengeh,IR,2020-01-06 04:45:10,26.56,54.88,60.8,67,40,9.17,scattered clouds,0.0,0.0
155,Saldanha,PT,2020-01-06 04:37:30,41.42,-6.55,33.64,87,0,0.29,clear sky,0.0,0.0
156,Horki,BY,2020-01-06 04:45:10,54.29,30.98,28.4,74,90,6.71,overcast clouds,0.0,0.0
157,Albany,US,2020-01-06 04:36:29,42.65,-73.75,27.0,68,20,3.36,few clouds,0.0,0.0
158,Plettenberg Bay,ZA,2020-01-06 04:37:12,-34.05,23.37,66.63,86,98,4.03,overcast clouds,0.0,0.0
159,Port Hardy,CA,2020-01-06 04:42:05,50.7,-127.42,33.8,100,75,4.12,broken clouds,0.0,0.0
160,Ambulu,ID,2020-01-06 04:45:13,-8.35,113.61,82.36,80,83,12.82,light rain,2.44,0.0
161,Portmore,JM,2020-01-06 04:45:13,17.97,-76.87,78.8,83,20,6.93,few clouds,0.0,0.0
162,Flores Costa Cuca,GT,2020-01-06 04:45:13,14.66,-91.83,73.4,88,40,3.36,scattered clouds,0.0,0.0
163,Noumea,NC,2020-01-06 04:44:06,-22.28,166.46,84.2,62,22,14.99,few clouds,0.0,0.0
164,Talnakh,RU,2020-01-06 04:33:35,69.49,88.39,19.4,92,75,26.84,shower snow,0.0,0.0
165,Rio Gallegos,AR,2020-01-06 04:37:28,-51.62,-69.22,42.8,70,20,10.29,few clouds,0.0,0.0
166,Yar-Sale,RU,2020-01-06 04:38:41,66.83,70.83,9.48,88,0,16.73,clear sky,0.0,0.0
167,Pevek,RU,2020-01-06 04:33:49,69.7,170.27,-7.19,79,0,5.14,clear sky,0.0,0.0
168,Bambanglipuro,ID,2020-01-06 04:39:34,-7.95,110.28,85.46,67,49,12.3,light rain,1.19,0.0
169,Deputatskiy,RU,2020-01-06 04:40:08,69.3,139.9,-17.03,74,79,1.03,broken clouds,0.0,0.0
170,Wukari,NG,2020-01-06 04:45:16,7.87,9.78,64.72,36,82,5.53,broken clouds,0.0,0.0
171,Sumbe,AO,2020-01-06 04:45:16,-11.2,13.84,77.02,84,74,0.31,broken clouds,0.0,0.0
172,Thompson,CA,2020-01-06 04:35:58,55.74,-97.86,5.0,84,90,10.29,light snow,0.0,0.0
173,Portland,US,2020-01-06 04:35:09,43.66,-70.25,24.01,62,1,9.84,clear sky,0.0,0.0
174,Moree,AU,2020-01-06 04:40:50,-29.46,149.84,98.6,17,0,16.11,clear sky,0.0,0.0
175,Maun,BW,2020-01-06 04:45:17,-19.99,23.42,69.8,94,99,2.24,overcast clouds,0.0,0.0
176,Marawi,PH,2020-01-06 04:37:02,8.0,124.29,82.99,77,34,5.99,scattered clouds,0.0,0.0
177,Mecca,SA,2020-01-06 04:36:35,21.43,39.83,63.64,34,0,1.7,clear sky,0.0,0.0
178,Muros,ES,2020-01-06 04:37:01,42.77,-9.06,45.0,100,40,2.95,fog,0.0,0.0
179,Codrington,AU,2020-01-06 04:33:33,-28.95,153.24,89.6,48,75,12.75,broken clouds,0.0,0.0
180,New Kensington,US,2020-01-06 04:45:06,40.57,-79.76,37.4,80,90,8.05,overcast clouds,0.0,0.0
181,Perth,AU,2020-01-06 04:45:16,-31.95,115.86,95.0,24,0,13.87,clear sky,0.0,0.0
182,Vila,IT,2020-01-06 04:45:18,45.18,8.4,39.99,100,1,8.05,clear sky,0.0,0.0
183,Kjollefjord,NO,2020-01-06 04:37:33,70.95,27.35,26.6,79,75,10.29,broken clouds,0.0,0.0
184,Mpika,ZM,2020-01-06 04:45:19,-11.84,31.4,70.34,81,97,0.54,overcast clouds,0.0,0.0
185,East London,ZA,2020-01-06 04:36:41,-33.02,27.91,68.0,94,20,3.36,few clouds,0.0,0.0
186,Kovdor,RU,2020-01-06 04:45:19,67.56,30.47,21.88,92,100,12.55,light snow,0.0,0.37
187,Coahuayana,MX,2020-01-06 04:45:20,18.62,-100.35,68.9,56,0,2.48,clear sky,0.0,0.0
188,Ilulissat,GL,2020-01-06 04:33:34,69.22,-51.1,8.6,71,100,12.75,light shower snow,0.0,0.0
189,Port Hedland,AU,2020-01-06 04:38:39,-20.31,118.58,100.4,29,40,20.8,scattered clouds,0.0,0.0
190,Kieta,PG,2020-01-06 04:38:38,-6.22,155.63,86.22,66,23,3.29,moderate rain,3.44,0.0
191,Kodiak,US,2020-01-06 04:36:42,39.95,-94.76,34.0,80,1,3.36,clear sky,0.0,0.0
192,Amga,RU,2020-01-06 04:45:21,60.89,131.98,7.18,96,100,4.14,light snow,0.0,0.31
193,Poronaysk,RU,2020-01-06 04:45:21,49.22,143.1,25.45,73,70,12.73,broken clouds,0.0,0.0
