City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
176,Marawi,PH,82.99,scattered clouds,8.0,124.29,Derogongan Residence
177,Mecca,SA,63.64,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
178,Muros,ES,45.0,fog,42.77,-9.06,Apartment Av. Castelao
179,Codrington,AU,89.6,broken clouds,-28.95,153.24,
180,New Kensington,US,37.4,overcast clouds,40.57,-79.76,SpringHill Suites by Marriott Pittsburgh Mills
181,Perth,AU,95.0,clear sky,-31.95,115.86,Rendezvous Hotel Perth Central
182,Vila,IT,39.99,clear sky,45.18,8.4,Parcheggio camper Coniolo
183,Kjollefjord,NO,26.6,broken clouds,70.95,27.35,Hotel Nordkyn
184,Mpika,ZM,70.34,overcast clouds,-11.84,31.4,Northern Rock Hotel
185,East London,ZA,68.0,few clouds,-33.02,27.91,Tu Casa
187,Coahuayana,MX,68.9,clear sky,18.62,-100.35,
188,Ilulissat,GL,8.6,light shower snow,69.22,-51.1,Hotel Arctic
189,Port Hedland,AU,100.4,scattered clouds,-20.31,118.58,The Esplanade Hotel
191,Kodiak,US,34.0,clear sky,39.95,-94.76,
193,Poronaysk,RU,25.45,broken clouds,49.22,143.1,Gostinitsa Sever
194,Havelock,US,42.01,clear sky,34.88,-76.9,Holiday Inn Express and Suites Havelock
195,Palana,RU,4.69,clear sky,59.08,159.95,
196,Westport,US,37.4,clear sky,41.14,-73.36,The Westport Inn
197,Ocampo,MX,48.79,broken clouds,27.32,-102.4,Hotel La Quinta
198,Kutum,SD,52.65,clear sky,14.2,24.66,
199,La Ronge,CA,3.2,overcast clouds,55.1,-105.3,Northland Motor Hotel
200,Alyangula,AU,86.0,light intensity shower rain,-13.85,136.42,Groote Eylandt Lodge
203,Nouadhibou,MR,59.0,scattered clouds,20.93,-17.03,El Medina
204,Sinnamary,GF,78.96,few clouds,5.38,-52.96,ALETHEIA Appartement Sinnamary
205,Kaeo,NZ,70.0,few clouds,-35.1,173.78,Bushido Lodge
206,Salalah,OM,77.0,broken clouds,17.01,54.1,HAMDAN PLAZA HOTEL
207,Veraval,FR,39.2,clear sky,49.65,0.71,Le Manoir aux Vaches
208,Kalabo,ZM,72.03,overcast clouds,-15.0,22.67,HM Sams Lodge
209,Kanasin,MX,71.01,clear sky,20.93,-89.57,Hacienda Misné
210,Hami,CN,28.99,overcast clouds,42.84,93.51,Post And Telecommunication Hotel
211,Inhambane,MZ,80.6,few clouds,-23.87,35.38,MHL Turismo SA
212,Campbellsville,US,44.6,clear sky,37.34,-85.34,Holiday Inn Express Campbellsville
213,Coihaique,CL,51.8,scattered clouds,-45.58,-72.07,Diego De Almagro Coyhaique
214,Antofagasta,CL,68.0,scattered clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
217,Havoysund,NO,26.6,broken clouds,71.0,24.66,Arctic View Glamping & Restaurant
218,Lander,US,25.0,clear sky,42.83,-108.73,Holiday Inn Express & Suites Lander
219,Arona,IT,39.0,few clouds,45.76,8.56,Hotel Atlantic
220,Narsaq,GL,21.2,light snow,60.91,-46.05,Hotel Narsaq
221,Puteyets,RU,8.17,broken clouds,65.17,57.09,"Sot ""Agrarnik"""
223,Jacareacanga,BR,71.08,overcast clouds,-6.22,-57.76,Casa do Ian😎
224,Shugurovo,RU,16.88,overcast clouds,54.51,52.13,
225,Makurdi,NG,69.82,broken clouds,7.73,8.54,Doo Palace Hotel
226,Saint-Ambroise,CA,12.2,light snow,48.56,-71.32,Motel Saint-Ambroise
227,Faya,SA,53.6,few clouds,18.39,42.45,مقبرة ال مجمل
228,Aklavik,CA,-16.6,light snow,68.22,-135.01,Aklavik Inn
229,Cherskiy,RU,-11.22,clear sky,68.75,161.3,Gostinitsa
230,Catuday,PH,81.43,clear sky,16.29,119.81,GResort
231,Clyde River,CA,-38.2,clear sky,70.47,-68.59,Qamaq Hotel
232,Morondava,MG,91.8,clear sky,-20.3,44.28,La Case Bambou
233,Calama,CL,50.0,few clouds,-22.46,-68.93,Park Hotel Calama
234,Poselki,RU,21.24,overcast clouds,53.13,46.5,Chasnyy Dom.
235,Plouzane,FR,43.0,overcast clouds,48.38,-4.62,Résidence Nemea Iroise Armorique
236,Hambantota,LK,82.4,few clouds,6.12,81.12,Bungalow 63
237,Macapa,BR,77.0,scattered clouds,0.05,-51.07,Atalanta Hotel
238,Manjacaze,MZ,83.62,scattered clouds,-24.71,33.88,Hotel Gani
240,Lasa,CY,60.8,heavy intensity shower rain,34.92,32.53,Lasa Heights Hotel
241,Sabang,PH,82.99,few clouds,13.8,121.11,SM TRAVELODGE
242,Metro,ID,88.93,scattered clouds,-5.11,105.31,Hotel Familie2
243,Namwala,ZM,70.43,overcast clouds,-15.75,26.45,Corner Point Lodge
245,Shache,CN,27.0,overcast clouds,38.42,77.24,Delong Hotel
246,Hovd,NO,46.0,overcast clouds,63.83,10.7,
247,Cidreira,BR,74.61,clear sky,-30.17,-50.22,Pond Country Club
249,Redmond,US,44.6,light rain,47.67,-122.12,Seattle Marriott Redmond
250,Barcelona,ES,48.0,clear sky,41.38,2.18,Oriente Atiram Hotel Barcelona
251,Lebork,PL,37.99,overcast clouds,54.54,17.75,Vega
252,Naze,NG,69.8,dust,5.43,7.07,Female Hostel C
255,Mitsamiouli,KM,78.8,few clouds,-11.38,43.28,Foyer ADM
256,Saint Anthony,US,26.6,overcast clouds,43.97,-111.68,Hunter's Escape
257,Rocha,UY,64.49,clear sky,-34.48,-54.34,Beleza Pura B&B
258,Donduseni,MD,26.71,broken clouds,48.24,27.61,Hotel Ellegance
259,Nago,IT,39.2,few clouds,45.88,10.89,Hotel Garda
260,Huarmey,PE,68.99,broken clouds,-10.07,-78.15,Hotel Miramar
261,Karonga,MW,78.87,overcast clouds,-9.94,33.93,Manguzi Executive Lodge
263,Sidi Ali,DZ,43.61,clear sky,36.1,0.42,
264,Hoa Binh,VN,75.2,broken clouds,20.81,105.34,Hoa Dao Hotel
265,Dedza,MW,73.31,few clouds,-14.38,34.33,Kapeleta Dedza Estates
267,Kabare,RW,58.96,overcast clouds,-1.65,29.38,
268,Ketchikan,US,32.0,broken clouds,55.34,-131.65,Snows Cove Lodge
269,La Candelaria,VE,68.18,few clouds,9.69,-63.4,Propiedad R&S RR1318
270,Mananjary,MG,71.47,clear sky,-19.16,46.8,
271,Lompoc,US,57.2,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
272,Labateca,CO,77.0,scattered clouds,7.3,-72.49,Hotel Irene Royal
274,Zhigansk,RU,-11.49,overcast clouds,66.77,123.37,Gostinichnyy Kompleks Aylgy
275,Pedasi,PA,79.5,overcast clouds,7.53,-80.03,Selina Pedasi
276,Yulara,AU,80.6,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
277,Riyadh,SA,44.6,clear sky,24.63,46.72,Al Salam Hotel
278,Sobolevo,RU,25.03,broken clouds,54.43,31.9,
279,San Cristobal,HN,60.12,overcast clouds,14.68,-86.92,
280,Kitui,KE,73.67,broken clouds,-1.37,38.02,Heritage Bliss Hotel
281,Lavrentiya,RU,-11.22,clear sky,65.58,-170.99,
